Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AAX39342.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAX39348.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAX39354.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAX39360.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAX39366.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAX39372.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAX47545.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAX62041.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
AAX62043.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAX62045.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAX62051.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAX84745.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX84751.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX84758.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX84764.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX84782.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAY16452.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAY16458.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAY16464.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAY27083.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAY33834.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAY33842.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAY40292.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAY44735.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAY63954.1,Begomovirus,Begomovirus,Begomovirus,replication initation protein,X,X,X,
AAY86749.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAY86755.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAZ07720.2,Babuvirus,Babuvirus,Babuvirus,master replication initiation protein,X,X,X,X
AAZ07881.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAZ20794.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAZ20796.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAZ20798.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAZ20800.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
AAZ29484.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAZ66792.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,
AAZ68044.2,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAZ68048.2,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAZ77635.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAZ77640.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAZ77666.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAZ78351.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABA00484.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABA00492.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABA26596.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABA26603.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABA26610.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABA26617.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABA26908.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABA26910.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
ABA39137.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABA39141.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABA39145.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABA39149.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABA39153.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABA39157.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABA39161.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABA39169.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,X
ABA40397.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,
ABA40411.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABA53822.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABA54884.1,Circovirus,Circovirus,Circovirus,replication protein,X,X,X,
ABA60803.1,Circovirus,NaN,NaN,replicase protein,X,,,
ABA61319.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,X
ABB29399.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABB29403.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABB29409.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABB29421.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABB52006.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABB52014.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABB52019.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABB52024.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,X
ABB52031.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABB52040.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABB52047.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABB52053.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABB59613.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,X
ABB59944.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,X
ABB69063.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ABB69694.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
ABB70087.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABB76210.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABB76219.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABB89053.1,Babuvirus,Babuvirus,Babuvirus,replicase protein,X,X,X,
ABB89054.1,Babuvirus,Babuvirus,Babuvirus,replicase protein,X,X,X,X
ABC33731.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABC68290.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABC68298.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABC70689.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABC74531.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABC74536.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABC74541.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABC74546.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABC74551.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABC75108.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABC87989.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,X
ABD35287.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABD42928.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABD58992.2,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABD58994.2,Begomovirus,Begomovirus,Begomovirus,replication initiator,X,X,X,
ABD59347.1,Circovirus,Circovirus,Circovirus,putative replicase protein,X,X,X,X
ABD60109.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABD60116.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABD65393.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABD67440.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABD67446.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABE02730.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABE02731.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABE03768.1,Circovirus,NaN,NaN,replication-associated protein,X,,,
ABE03769.1,Circovirus,NaN,NaN,replication-associated protein,X,,,
ABE03770.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABE67102.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABE96816.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABE96818.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABE96822.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABE96824.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABF19810.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABF19812.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABF57886.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABF61894.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABF67522.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ABF67527.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ABF67532.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ABF68951.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABF71078.2,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABF71084.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABF71090.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABG21273.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
ABG21279.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABG23312.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
ABG24029.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABG24031.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABG26007.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26013.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26019.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26025.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26031.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26037.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26043.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26049.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26055.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26061.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26067.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26073.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABG26079.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26085.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26091.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26097.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26103.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG26109.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ABG37023.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABG37025.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
ABG38471.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
ABG38472.1,Babuvirus,Babuvirus,Babuvirus,replication initiator protein,X,X,X,X
ABG48510.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ABG56902.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABG57058.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABG73018.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABG79572.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABG90893.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABG90906.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABG90911.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABG90917.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABG90924.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABH10496.2,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI17537.1,Circovirus,NaN,NaN,replicase,X,,,
ABI18357.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABI21817.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ABI31647.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABI35959.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABI50493.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABI54254.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABI54257.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABI63381.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63389.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63395.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63401.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63407.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63413.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63419.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63425.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63431.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63437.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63443.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63449.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63455.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI63461.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABI83650.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABI85396.1,Begomovirus,Begomovirus,Begomovirus,REP protein,X,X,X,
ABI85402.1,Begomovirus,Begomovirus,Begomovirus,REP protein,X,X,X,
ABI85408.1,Begomovirus,Begomovirus,Begomovirus,REP protein,X,X,X,
ABI93797.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
ABI93799.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABI97390.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABJ52836.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ABJ97339.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABJ97346.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABJ99720.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
ABK00002.1,Begomovirus,Begomovirus,Begomovirus,replication asociated protein,X,X,X,
ABK41589.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABK41595.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABK54302.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ABK59930.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABK79772.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABK79775.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABK79778.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABK79781.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABK79784.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABK79787.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ABK96866.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
ABK96867.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
ABK96899.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ABL07433.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABL09091.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABL09098.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABL73898.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABL73904.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABL84736.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABL84743.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABL96306.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ABM45869.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ABM52988.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ABM55729.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABM55730.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABM55731.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABM55732.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABM60793.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ABM73370.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABM88860.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,
ABM88862.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,
ABM91589.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ABM92350.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ABM97550.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
ABN13869.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ABN80221.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABN80354.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein C1,X,X,X,
ABN80360.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein C1,X,X,X,X
ABO09987.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABO09989.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABO09991.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABO09993.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABO09995.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABO09999.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABO14362.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABO15714.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABO21323.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,X
ABO31250.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABO31310.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ABO37838.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,X
ABO38130.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,X
ABO40826.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABO41854.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ABO65369.1,Circovirus,Circovirus,Circovirus,putative replicase protein,X,X,X,
ABO65371.1,Circovirus,Circovirus,Circovirus,putative replicase protein,X,X,X,
ABP04007.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ABP48081.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP48085.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP48091.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP49176.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABP57436.1,Begomovirus,Begomovirus,Begomovirus,REP,X,X,X,
ABP58640.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABP68615.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68621.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68625.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68627.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68629.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68643.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
ABP68651.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68653.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68655.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68661.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP68663.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
ABP68669.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABP93353.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ABP96793.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ABP96960.1,Babuvirus,Babuvirus,Babuvirus,putative replicase protein,X,X,X,X
ABP96965.1,Babuvirus,Babuvirus,Babuvirus,putative replicase protein,X,X,X,
ABP98815.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ABQ10606.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABQ10608.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ABQ10629.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
ABQ12135.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABQ12140.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABQ12144.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABQ12757.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ABQ12764.1,Curtovirus,Curtovirus,Curtovirus,replication initiator protein,X,X,X,X
ABQ14477.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ABQ40115.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40135.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40158.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40174.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ABQ40186.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ABQ40201.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40205.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40217.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40221.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40233.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40237.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ABQ40241.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
